2024-02-26 23:40:08.161 [info] 로그 수준: Info
2024-02-26 23:40:08.161 [info] "git"에서 찾은 git 유효성을 검사하는 중
2024-02-26 23:40:08.161 [info] "2.20.1"에서 git "git"을(를) 사용하는 중
2024-02-26 23:40:08.161 [info] > git rev-parse --show-toplevel [3ms]
2024-02-26 23:40:08.161 [info] > git rev-parse --show-toplevel [386ms]
2024-02-26 23:40:08.161 [info] > git rev-parse --show-toplevel [135ms]
2024-02-26 23:40:08.171 [info] > git rev-parse --show-toplevel [2ms]
2024-02-26 23:40:08.181 [info] > git rev-parse --show-toplevel [3ms]
2024-02-26 23:40:08.188 [info] > git rev-parse --show-toplevel [2ms]
2024-02-26 23:40:08.202 [info] > git rev-parse --show-toplevel [8ms]
2024-02-26 23:40:08.819 [info] > git rev-parse --show-toplevel [610ms]
2024-02-26 23:40:15.086 [info] > git rev-parse --show-toplevel [3ms]
2024-02-26 23:40:15.940 [info] > git rev-parse --show-toplevel [4ms]
2024-02-26 23:40:16.172 [info] > git rev-parse --show-toplevel [4ms]
2024-02-26 23:40:19.241 [info] > git rev-parse --show-toplevel [4ms]
2024-02-26 23:42:02.474 [info] > git rev-parse --show-toplevel [3ms]
2024-02-26 23:42:11.960 [info] > git rev-parse --show-toplevel [4ms]
2024-02-26 23:43:06.595 [info] > git rev-parse --show-toplevel [2ms]
2024-02-26 23:43:11.078 [info] > git rev-parse --show-toplevel [2ms]
2024-02-26 23:43:25.128 [info] > git rev-parse --show-toplevel [4ms]
2024-02-26 23:45:41.796 [info] > git rev-parse --show-toplevel [2ms]
2024-02-26 23:45:42.128 [info] > git rev-parse --show-toplevel [2ms]
2024-02-26 23:46:07.958 [info] > git rev-parse --show-toplevel [4ms]
2024-02-26 23:47:02.538 [info] > git rev-parse --show-toplevel [3ms]
2024-02-26 23:47:04.878 [info] > git rev-parse --show-toplevel [4ms]
2024-02-26 23:47:15.069 [info] > git rev-parse --show-toplevel [2ms]
